iter	Passed	Remaining
0	139	139464
1	141	70830
2	144	47987
3	146	36555
4	149	29694
5	152	25190
6	154	21920
7	156	19462
8	159	17549
9	161	16020
10	164	14775
11	167	13750
12	169	12874
13	172	12124
14	174	11451
15	176	10876
16	179	10370
17	181	9919
18	184	9512
19	186	9146
20	189	8811
21	191	8506
22	193	8230
23	195	7970
24	198	7736
25	200	7523
26	203	7322
27	205	7141
28	208	6969
29	210	6807
30	212	6656
31	214	6494
32	216	6337
33	217	6188
34	219	6051
35	221	5923
36	222	5801
37	224	5685
38	226	5576
39	227	5470
40	229	5371
41	231	5277
42	233	5187
43	234	5103
44	237	5030
45	238	4955
46	240	4881
47	242	4812
48	244	4745
49	246	4681
50	248	4618
51	250	4560
52	251	4500
53	253	4444
54	255	4391
55	257	4337
56	259	4289
57	261	4239
58	262	4190
59	264	4142
60	266	4096
61	267	4051
62	269	4006
63	271	3964
64	272	3922
65	274	3882
66	275	3842
67	277	3804
68	279	3767
69	280	3732
70	282	3697
71	284	3663
72	285	3630
73	287	3597
74	289	3566
75	290	3535
76	292	3508
77	294	3479
78	295	3449
79	297	3422
80	299	3394
81	300	3367
82	302	3339
83	303	3312
84	305	3289
85	307	3267
86	309	3247
87	312	3235
88	314	3220
89	316	3200
90	318	3181
91	320	3160
92	321	3137
93	323	3116
94	324	3095
95	326	3074
96	328	3055
97	329	3034
98	331	3014
99	332	2996
100	334	2977
101	336	2959
102	337	2941
103	339	2924
104	341	2907
105	342	2891
106	344	2875
107	346	2859
108	347	2842
109	349	2826
110	350	2810
111	352	2795
112	354	2780
113	355	2761
114	356	2746
115	358	2732
116	360	2717
117	361	2703
118	363	2690
119	364	2676
120	366	2661
121	367	2647
122	369	2635
123	371	2623
124	372	2610
125	374	2598
126	376	2586
127	377	2574
128	379	2563
129	381	2551
130	382	2539
131	384	2527
132	385	2516
133	387	2503
134	389	2492
135	390	2482
136	392	2473
137	394	2464
138	396	2454
139	397	2442
140	399	2432
141	400	2422
142	402	2412
143	404	2402
144	405	2391
145	407	2381
146	408	2371
147	410	2361
148	411	2352
149	413	2343
150	415	2333
151	416	2323
152	418	2314
153	419	2306
154	421	2298
155	423	2290
156	425	2282
157	426	2274
158	427	2262
159	429	2254
160	431	2246
161	433	2240
162	435	2235
163	437	2229
164	439	2223
165	441	2216
166	443	2210
167	444	2202
168	446	2196
169	448	2190
170	450	2184
171	452	2179
172	454	2171
173	455	2164
174	457	2157
175	459	2150
176	460	2142
177	462	2135
178	464	2128
179	466	2123
180	467	2116
181	469	2109
182	470	2102
183	472	2095
184	474	2088
185	475	2082
186	477	2076
187	479	2070
188	481	2064
189	483	2059
190	485	2055
191	487	2051
192	489	2045
193	491	2040
194	492	2033
195	494	2027
196	495	2021
197	497	2015
198	499	2009
199	500	2003
200	502	1997
201	504	1991
202	505	1985
203	507	1981
204	509	1976
205	511	1971
206	513	1966
207	515	1961
208	516	1956
209	518	1951
210	520	1946
211	522	1942
212	524	1937
213	526	1932
214	527	1927
215	529	1922
216	531	1917
217	533	1912
218	535	1908
219	536	1903
220	538	1897
221	539	1891
222	541	1886
223	543	1881
224	544	1874
225	545	1868
226	547	1863
227	548	1858
228	550	1853
229	552	1848
230	553	1843
231	555	1838
232	557	1834
233	558	1829
234	560	1824
235	562	1819
236	563	1814
237	565	1810
238	567	1805
239	568	1800
240	570	1796
241	572	1791
242	573	1786
243	575	1781
244	576	1777
245	578	1772
246	580	1768
247	581	1764
248	583	1758
249	584	1754
250	586	1749
251	588	1745
252	589	1740
253	591	1735
254	592	1731
255	594	1727
256	596	1723
257	597	1719
258	599	1714
259	601	1710
260	602	1706
261	604	1702
262	606	1698
263	608	1695
264	610	1692
265	612	1689
266	614	1685
267	615	1681
268	617	1677
269	619	1673
270	620	1668
271	622	1665
272	623	1661
273	625	1656
274	626	1652
275	628	1649
276	630	1645
277	631	1641
278	633	1637
279	635	1633
280	636	1629
281	638	1625
282	640	1622
283	641	1617
284	643	1614
285	644	1609
286	646	1605
287	647	1601
288	649	1598
289	651	1595
290	653	1592
291	655	1590
292	657	1587
293	659	1583
294	661	1579
295	663	1577
296	665	1574
297	667	1571
298	668	1567
299	670	1564
300	672	1562
301	674	1559
302	676	1557
303	678	1554
304	680	1551
305	682	1548
306	684	1545
307	686	1542
308	688	1539
309	690	1536
310	692	1534
311	694	1531
312	696	1528
313	698	1526
314	700	1522
315	702	1519
316	704	1516
317	706	1514
318	708	1512
319	710	1509
320	712	1506
321	714	1503
322	716	1500
323	717	1497
324	719	1494
325	722	1493
326	724	1490
327	725	1487
328	727	1484
329	729	1481
330	731	1478
331	733	1475
332	735	1473
333	737	1470
334	739	1468
335	741	1465
336	743	1462
337	745	1459
338	747	1456
339	749	1454
340	751	1452
341	753	1449
342	755	1446
343	757	1443
344	759	1441
345	760	1438
346	762	1435
347	765	1433
348	767	1431
349	768	1427
350	770	1425
351	772	1422
352	774	1419
353	776	1417
354	778	1414
355	780	1412
356	782	1409
357	784	1406
358	786	1403
359	788	1401
360	789	1398
361	791	1395
362	794	1393
363	796	1391
364	797	1387
365	799	1384
366	801	1382
367	803	1379
368	805	1376
369	807	1374
370	809	1372
371	811	1369
372	813	1366
373	814	1363
374	816	1360
375	818	1358
376	820	1355
377	822	1353
378	824	1350
379	826	1347
380	827	1344
381	829	1342
382	831	1339
383	833	1336
384	835	1334
385	837	1331
386	838	1328
387	840	1325
388	842	1323
389	844	1320
390	845	1317
391	847	1314
392	849	1311
393	851	1309
394	853	1306
395	854	1304
396	856	1301
397	858	1298
398	860	1295
399	862	1293
400	864	1290
401	866	1288
402	868	1286
403	870	1283
404	871	1281
405	873	1278
406	875	1275
407	876	1272
408	879	1270
409	881	1267
410	882	1265
411	884	1262
412	886	1259
413	888	1257
414	890	1254
415	892	1252
416	893	1249
417	896	1247
418	898	1245
419	900	1242
420	901	1240
421	904	1238
422	905	1235
423	907	1232
424	909	1230
425	911	1228
426	913	1225
427	915	1223
428	917	1220
429	918	1218
430	920	1215
431	922	1213
432	924	1210
433	926	1208
434	928	1206
435	930	1203
436	932	1201
437	934	1198
438	935	1195
439	937	1193
440	939	1191
441	941	1188
442	943	1186
443	945	1183
444	946	1180
445	948	1178
446	950	1175
447	951	1172
448	953	1170
449	955	1168
450	957	1165
451	959	1163
452	961	1160
453	963	1158
454	965	1156
455	967	1153
456	968	1151
457	970	1148
458	972	1146
459	974	1144
460	976	1141
461	978	1138
462	979	1136
463	982	1134
464	984	1132
465	986	1130
466	988	1128
467	992	1127
468	994	1125
469	997	1124
470	999	1122
471	1001	1120
472	1003	1117
473	1005	1115
474	1006	1112
475	1008	1109
476	1010	1107
477	1012	1105
478	1014	1103
479	1016	1100
480	1017	1097
481	1019	1095
482	1020	1092
483	1022	1090
484	1024	1088
485	1026	1085
486	1028	1083
487	1030	1081
488	1032	1078
489	1033	1076
490	1035	1073
491	1037	1071
492	1040	1069
493	1042	1067
494	1043	1064
495	1045	1062
496	1047	1059
497	1048	1057
498	1050	1054
499	1052	1052
500	1054	1050
501	1056	1048
502	1058	1045
503	1060	1043
504	1061	1040
505	1063	1038
506	1065	1036
507	1067	1034
508	1070	1032
509	1071	1029
510	1073	1027
511	1075	1025
512	1077	1022
513	1079	1020
514	1080	1017
515	1082	1015
516	1084	1013
517	1086	1011
518	1088	1008
519	1090	1006
520	1092	1004
521	1094	1002
522	1096	999
523	1098	997
524	1100	995
525	1102	993
526	1104	990
527	1106	988
528	1108	986
529	1109	984
530	1111	982
531	1113	979
532	1115	977
533	1117	974
534	1119	972
535	1121	970
536	1123	968
537	1125	966
538	1127	964
539	1129	962
540	1131	959
541	1133	957
542	1134	955
543	1137	953
544	1138	950
545	1140	948
546	1142	946
547	1144	944
548	1146	941
549	1148	939
550	1150	937
551	1152	935
552	1154	932
553	1156	930
554	1158	928
555	1160	926
556	1161	923
557	1163	921
558	1165	919
559	1167	917
560	1169	914
561	1171	912
562	1173	910
563	1175	908
564	1176	905
565	1178	903
566	1180	901
567	1182	899
568	1184	897
569	1186	894
570	1188	892
571	1190	890
572	1192	888
573	1193	885
574	1195	883
575	1197	881
576	1199	879
577	1201	877
578	1203	875
579	1205	872
580	1206	870
581	1208	868
582	1210	865
583	1212	863
584	1214	861
585	1216	859
586	1218	857
587	1220	854
588	1221	852
589	1223	850
590	1225	848
591	1227	845
592	1229	843
593	1230	841
594	1233	839
595	1234	836
596	1236	834
597	1238	832
598	1240	830
599	1242	828
600	1244	826
601	1246	823
602	1247	821
603	1249	819
604	1250	816
605	1252	814
606	1254	812
607	1256	809
608	1258	807
609	1260	805
610	1261	803
611	1263	801
612	1265	798
613	1266	796
614	1268	794
615	1270	791
616	1271	789
617	1273	787
618	1274	784
619	1276	782
620	1277	779
621	1279	777
622	1280	775
623	1282	772
624	1283	770
625	1285	768
626	1287	765
627	1289	763
628	1290	761
629	1292	759
630	1294	756
631	1295	754
632	1297	752
633	1299	749
634	1300	747
635	1302	745
636	1303	743
637	1305	740
638	1307	738
639	1308	736
640	1310	733
641	1311	731
642	1313	729
643	1315	726
644	1316	724
645	1318	722
646	1320	720
647	1322	718
648	1323	715
649	1325	713
650	1326	711
651	1328	709
652	1330	706
653	1331	704
654	1333	702
655	1334	700
656	1336	697
657	1337	695
658	1339	693
659	1341	690
660	1342	688
661	1344	686
662	1345	684
663	1347	682
664	1350	680
665	1352	678
666	1354	676
667	1356	674
668	1358	672
669	1359	669
670	1361	667
671	1363	665
672	1365	663
673	1366	661
674	1368	658
675	1370	656
676	1371	654
677	1373	652
678	1374	650
679	1376	647
680	1377	645
681	1379	643
682	1381	640
683	1382	638
684	1384	636
685	1385	634
686	1387	632
687	1388	629
688	1390	627
689	1391	625
690	1393	623
691	1395	620
692	1396	618
693	1398	616
694	1399	614
695	1401	612
696	1403	609
697	1404	607
698	1406	605
699	1407	603
700	1409	601
701	1411	599
702	1412	596
703	1414	594
704	1416	592
705	1417	590
706	1419	588
707	1420	586
708	1422	583
709	1424	581
710	1425	579
711	1427	577
712	1429	575
713	1430	573
714	1432	570
715	1433	568
716	1435	566
717	1436	564
718	1438	562
719	1439	559
720	1441	557
721	1443	555
722	1444	553
723	1446	551
724	1447	549
725	1449	547
726	1451	544
727	1452	542
728	1454	540
729	1455	538
730	1457	536
731	1458	534
732	1460	531
733	1461	529
734	1463	527
735	1465	525
736	1466	523
737	1468	521
738	1469	519
739	1471	516
740	1473	514
741	1475	512
742	1476	510
743	1478	508
744	1480	506
745	1481	504
746	1483	502
747	1484	500
748	1486	498
749	1487	495
750	1489	493
